Title,Movie Link,Year,Duration,MPA,Rating,Votes
DarkGame,https://www.imdb.com/title/tt5613018/?ref_=sr_t_339,2024,1h 40m,,4.7,2.5K
Darkness of Man,https://www.imdb.com/title/tt23173980/?ref_=sr_t_557,2024,1h 49m,R,4.4,1.7K
Daytime Revolution,https://www.imdb.com/title/tt26931735/?ref_=sr_t_269,2024,1h 48m,,7.1,28
Deadpool & Wolverine,https://www.imdb.com/title/tt6263850/?ref_=sr_t_2,2024,2h 8m,R,7.6,441K
Dear Santa,https://www.imdb.com/title/tt2396431/?ref_=sr_t_320,2024,1h 47m,PG-13,5.4,17K
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,https://www.imdb.com/title/tt30395619/?ref_=sr_t_67,2024,1h 44m,R,7.1,7.9K
Descendants: The Rise of Red,https://www.imdb.com/title/tt20202136/?ref_=sr_t_400,2024,1h 31m,TV-G,4.7,6.6K
Desert Fiends,https://www.imdb.com/title/tt24132110/?ref_=sr_t_581,2024,,,9.2,185
Despatch,https://www.imdb.com/title/tt15260176/?ref_=sr_t_471,2024,2h 33m,,4.5,4.2K
Despicable Me 4,https://www.imdb.com/title/tt7510222/?ref_=sr_t_5,2024,1h 34m,PG,6.2,55K
Detained,https://www.imdb.com/title/tt8178762/?ref_=sr_t_591,2024,1h 37m,,4.8,1.2K
Devara Part 1,https://www.imdb.com/title/tt11821912/?ref_=sr_t_97,2024,2h 56m,,6.0,19K
Diamanti,https://www.imdb.com/title/tt32810496/?ref_=sr_t_482,2024,2h 15m,,7.1,457
"Die, My Love",https://www.imdb.com/title/tt9362736/?ref_=sr_t_523,2024,,,,
Dilan 1983,https://www.imdb.com/title/tt31070645/?ref_=sr_t_582,2024,1h 56m,TV-PG,6.7,156
Dirty Angels,https://www.imdb.com/title/tt23872640/?ref_=sr_t_346,2024,1h 44m,R,4.2,2K
Disaster Holiday,https://www.imdb.com/title/tt34608980/?ref_=sr_t_443,2024,1h 33m,,4.8,509
Disciples in the Moonlight,https://www.imdb.com/title/tt23844724/?ref_=sr_t_177,2024,2h 6m,,3.6,528
Distant,https://www.imdb.com/title/tt9883398/?ref_=sr_t_375,2024,1h 27m,PG-13,5.7,1.3K
Do Patti,https://www.imdb.com/title/tt28075881/?ref_=sr_t_449,2024,2h 6m,TV-MA,6.5,67K
Don't Move,https://www.imdb.com/title/tt24807110/?ref_=sr_t_353,2024,1h 32m,R,5.8,33K
Dragonkeeper,https://www.imdb.com/title/tt7093904/?ref_=sr_t_172,2024,1h 38m,PG,5.7,1.4K
Drive-Away Dolls,https://www.imdb.com/title/tt19356262/?ref_=sr_t_102,2024,1h 24m,R,5.4,21K
Drugstore June,https://www.imdb.com/title/tt19364132/?ref_=sr_t_286,2024,1h 31m,,5.3,1.4K
Duchess,https://www.imdb.com/title/tt18300732/?ref_=sr_t_419,2024,1h 54m,R,4.6,1.1K
Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=sr_t_7,2024,2h 46m,PG-13,8.5,574K
Dìdi,https://www.imdb.com/title/tt30319503/?ref_=sr_t_104,2024,1h 33m,R,7.4,9.2K
Eden,https://www.imdb.com/title/tt23149780/?ref_=sr_t_340,2024,2h,R,6.0,729
Elevation,https://www.imdb.com/title/tt23558280/?ref_=sr_t_132,2024,1h 31m,R,5.6,8.7K
Emilia Pérez,https://www.imdb.com/title/tt20221436/?ref_=sr_t_331,2024,2h 12m,R,6.8,21K
Emmanuelle,https://www.imdb.com/title/tt20247888/?ref_=sr_t_430,2024,1h 47m,,4.8,481
Enchanting Christmas,https://www.imdb.com/title/tt30342395/?ref_=sr_t_576,2024,1h 31m,,6.4,309
Eno,https://www.imdb.com/title/tt19854690/?ref_=sr_t_199,2024,1h 25m,,7.9,220
